"","Participant","PhaseOffset","Frequency","AvgCorrect","AvgRT"
"243","1021","0","10.4721 Hz",0.5625,3.847107955502
"244","1021","90","1.652 Hz",0.4,4.46971892185975
"245","1021","90","4 Hz",0.4,4.77954348083585
"246","1021","90","10.4721 Hz",0.4,4.37587002855726
"247","1021","180","1.652 Hz",0.5,3.94631809079631
"248","1021","180","4 Hz",0.5,5.19040070520714
"249","1021","180","10.4721 Hz",0.333333333333333,4.55131109124826
"250","1021","270","1.652 Hz",0.4,4.65037848064676
"251","1021","270","4 Hz",0.4,4.7927676795749
"252","1021","270","10.4721 Hz",0.8,4.17310908336658
"253","1022","0","1.652 Hz",0.5,8.38345733023016
"254","1022","0","4 Hz",0.3125,8.53591560939821
"255","1022","0","10.4721 Hz",0.3125,8.97770666411816
"256","1022","90","1.652 Hz",0.2,15.643611680693
"257","1022","90","4 Hz",0.4,6.78694604740013
"258","1022","90","10.4721 Hz",0.4,5.70825980398804
"259","1022","180","1.652 Hz",0.333333333333333,11.7568527330295
"260","1022","180","4 Hz",0.666666666666667,10.0529790906197
"261","1022","180","10.4721 Hz",0.333333333333333,7.16504439833806
"262","1022","270","1.652 Hz",0.4,8.10355117088185
"263","1022","270","4 Hz",0.4,8.54545580227859
"264","1022","270","10.4721 Hz",0.2,9.27935177283361
"265","1023","0","1.652 Hz",0.375,4.95472883475304
"266","1023","0","4 Hz",0.5625,6.68359652684012
"267","1023","0","10.4721 Hz",0.4375,4.97385958123778
"268","1023","90","1.652 Hz",0.4,5.52703378451988
"269","1023","90","4 Hz",0.4,7.5788781928597
"270","1023","90","10.4721 Hz",0.2,5.49777777511627
"271","1023","180","1.652 Hz",0.333333333333333,5.49017608499465
"272","1023","180","4 Hz",0.666666666666667,5.95789774429674
"273","1023","180","10.4721 Hz",0.333333333333333,5.98159535898594
"274","1023","270","1.652 Hz",0.4,7.6406201788457
"275","1023","270","4 Hz",0.8,5.45798129765317
"276","1023","270","10.4721 Hz",0.2,5.08078347018454
"277","1024","0","1.652 Hz",0.25,3.88789416200598
"278","1024","0","4 Hz",0.4375,3.64821269125969
"279","1024","0","10.4721 Hz",0.25,3.53956846761139
"280","1024","90","1.652 Hz",0.4,3.65325708880555
"281","1024","90","4 Hz",0.6,4.83727641233709
"282","1024","90","10.4721 Hz",0.6,3.91622846906539
"283","1024","180","1.652 Hz",0.333333333333333,3.66572196176275
"284","1024","180","4 Hz",0.333333333333333,4.9599497532666
"285","1024","180","10.4721 Hz",0.166666666666667,3.69648967006166
"286","1024","270","1.652 Hz",0.6,4.14768059295602
"287","1024","270","4 Hz",0.2,3.83201864499133
"288","1024","270","10.4721 Hz",0.6,3.72676688448992
